이름,artist,image,link,month,producer,rank_status,ranking,sales_volume,title
Red Moon : Beyond The Light,마크툽 (Maktub),https://circlechart.kr/uploadDir/albumImg/thumb/20210928_81C7663283E150C9B1788BEEE545BB66.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,MAKTUB Company,-6,124,,찰나가 영원이 될 때 (The Eternal Moment)
취기를 빌려 (취향저격 그녀 X 산들) OST,산들,https://circlechart.kr/uploadDir/albumImg/thumb/20200728_6FCE2A68A03963186FA6237C062BDD34.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,TOON STUDIO,2,140,,취기를 빌려 (취향저격 그녀 X 산들)
CRAZY IN LOVE,ITZY (있지),https://circlechart.kr/uploadDir/albumImg/thumb/20210928_D8FAC2858AC95D5B84E4E00C5B0B8663.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,JYP Entertainment,-38,194,,SWIPE
삐삐,아이유 (IU),https://circlechart.kr/uploadDir/albumImg/thumb/8D5E77DE5984485EBB3943162BA033E0.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,Kakao Entertainment,2,184,,삐삐
Not Shy,ITZY (있지),https://circlechart.kr/uploadDir/albumImg/thumb/20200825_0E7B9C0D6D3244E4AF8FFEB5F7652C0D.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,JYP Entertainment,-19,158,,Not Shy
Dreams Come True - SM STATION,aespa,https://circlechart.kr/uploadDir/albumImg/thumb/20211228_A67C387680C3D87D7BD05FE031E12393.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,SM Entertainment,16,7,,Dreams Come True
Weekend,태연 (TAEYEON),https://circlechart.kr/uploadDir/albumImg/thumb/20220829_40F6494AAD21CA95524D86D06234ADFF.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,SM Entertainment,2,41,,Weekend
LOVE YOURSELF 轉 `Tear`,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/C7030ECF51A54A979F6FFD2E3AB1F138.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,BIGHIT MUSIC / HYBE,-7,55,,FAKE LOVE
5th Album `LILAC`,아이유 (IU),https://circlechart.kr/uploadDir/albumImg/thumb/20210330_A788A7E7FBE1896D3A23CD84B2EC8537.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,EDAM엔터테인먼트,-6,33,,라일락
MAP OF THE SOUL : 7,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/20200225_C79BF2656DB69BCF156C5C31A89D16D5.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,BIGHIT MUSIC / HYBE,23,75,,Filter
OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO(파테코)",https://circlechart.kr/uploadDir/albumImg/thumb/20210519_757CFCF0A4C7D1E996518B976DC6D054.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,NEOKIDZ,-6,58,,OHAYO MY NIGHT
MAP OF THE SOUL : 7,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/20200225_F33E721EA38E773341044EFEC6F5D95A.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,BIGHIT MUSIC / HYBE,17,183,,00:00 (Zero O`Clock)
